company_name,job_title,job_type,Department,Location,Posted_Time,Salary_range
Fitness and Sports Solutions Ltd,Admin/ Customer Service Agent,Customer Service & Support,Customer Service & Support,Lagos,1 month ,"NGN 70,000 - 150,000"
Fitness and Sports Solutions Ltd,Inventory/ Distribution Staff,Supply Chain & Procurement,Supply Chain & Procurement,Lagos,1 month ,"NGN 70,000 - 150,000"
Techno Trends Platform Nigeria Limited,Marketing Officer,Sales,Sales,Lagos,1 month ,"NGN 150,000 - 250,000"
Techno Trends Platform Nigeria Limited,Computer Science,Software & Data,Software & Data,Lagos,1 month ,"NGN 150,000 - 250,000"
Fitness and Sports Solutions Ltd,Media/ Marketing Staff,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 150,000 - 250,000"
Royan Homes,Sales Manager,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 150,000 - 250,000"
Chowdeck,Customer Support Representative,Customer Service & Support,Customer Service & Support,Lagos,1 month ,Confidential
Fitness and Sports Solutions Ltd,Researcher,Admin & Office,Admin & Office,Lagos,1 month ,"NGN 70,000 - 150,000"
Mani Recruits,Assistant Factory Production Manager,Farming & Agriculture,Farming & Agriculture,Abuja,1 month ,"NGN 70,000 - 150,000"
Fitness and Sports Solutions Ltd,Social Media Content Creator,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 70,000 - 150,000"
New Year Mega Lottery Ltd,Customer Relationship Officer,Customer Service & Support,Customer Service & Support,Abuja,1 month ,"NGN 70,000 - 150,000"
Bellevue Elementary School,English Teacher,"Research, Teaching & Training","Research, Teaching & Training",Abuja,1 month ,"NGN 150,000 - 250,000"
Techno Trends Platform Nigeria Limited,Business Development Associate Manager,Product & Project Management,Product & Project Management,Lagos,1 month ,"NGN 150,000 - 250,000"
Victory Empowerment Centre,Field Officer,Marketing & Communications,Marketing & Communications,Port Harcourt & Rivers State,1 month ,"NGN 70,000 - 150,000"
Bliss Stretch,Sports/MSK Physiotherapist,Health & Safety,Health & Safety,Lagos,1 month ,"NGN 250,000 - 400,000"
Justice & Empowerment Initiatives - Nigeria,Staff Attorney,Legal Services,Legal Services,Lagos,1 month ,"NGN 150,000 - 250,000"
Jolly Energy Fleet Limited,Front Desk/Admin Officer,Admin & Office,Admin & Office,Rest of Nigeria (Delta),1 month ,"NGN 70,000 - 150,000"
Capimore Nigeria,Business Growth Specialist,Management & Business Development,Management & Business Development,Abuja,1 month ,"NGN 70,000 - 150,000"
Jolly Energy Fleet Limited,Accounting Intern,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Rest of Nigeria (Delta),1 month ,"NGN 70,000 - 150,000"
Royal Resource Management,Digital Skills Instructor,Marketing & Communications,Marketing & Communications,Remote (Work From Home),1 month ,"NGN 70,000 - 150,000"
JV Management Consulting Limited,Field Sales Marketer,Sales,Sales,Abuja,1 month ,"NGN 70,000 - 150,000"
Bellevue Elementary School,Teaching Assistant,"Research, Teaching & Training","Research, Teaching & Training",Abuja,1 month ,"NGN 70,000 - 150,000"
StreSERT Integrated Limited (SIL),Credit Officer (Financial Services Company/Fintech),Sales,Sales,Lagos,1 month ,"NGN 70,000 - 150,000"
Pixels Digital Systems Limited,Content Creator/Social Media Manager,Creative & Design,Creative & Design,Ibadan & Oyo State,1 month ,"NGN 70,000 - 150,000"
Royal Resource Management,Digital Skills Instructor,"Research, Teaching & Training","Research, Teaching & Training",Remote (Work From Home),1 month ,"NGN 70,000 - 150,000"
Victory Empowerment Centre,Credit Officer,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 70,000 - 150,000"
Tulips n Lilies Confectionery,Baker/Pastry Chef,Food Services & Catering,Food Services & Catering,Ibadan & Oyo State,1 month ,"NGN 70,000 - 150,000"
Jubilee-Life Mortgage Bank,Legal Officer,Legal Services,Legal Services,Lagos,1 month ,"NGN 250,000 - 400,000"
Designrepublik Ltd,Marketing Executives,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 70,000 - 150,000"
Awameal Ltd,Procurement Staff,Admin & Office,Admin & Office,Imo,1 month ,"NGN 70,000 - 150,000"
